,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind
44,Ust-Ilimsk,0,RU,1554509236,88,57.96,102.73,26.31,3.15
45,Altar,0,MX,1554509119,37,30.72,-111.84,75.0,8.01
46,Richards Bay,92,ZA,1554509238,100,-28.77,32.06,66.36,15.12
47,Bonthe,20,SL,1554509240,88,7.53,-12.5,80.22,3.94
48,Saint George,90,GR,1554508200,81,39.45,22.34,53.6,8.05
49,Cape Town,0,ZA,1554509166,72,-33.93,18.42,60.01,5.82
50,Albany,90,US,1554509054,80,42.65,-73.75,34.0,17.22
51,Liuzhou,92,CN,1554509245,97,24.32,109.41,64.65,1.7
52,Hermanus,0,ZA,1554508878,86,-34.42,19.24,57.99,5.01
53,Tiruchchendur,0,IN,1554509054,89,8.48,78.12,78.69,7.96
54,Puerto Ayora,75,EC,1554508839,78,-0.74,-90.35,80.6,5.82
55,Hobart,75,AU,1554509175,48,-42.88,147.33,63.0,19.46
56,Chokurdakh,24,RU,1554509252,100,70.62,147.9,13.08,4.72
57,Norman Wells,5,CA,1554505200,41,65.28,-126.83,24.8,18.34
58,Komsomolskiy,80,RU,1554509255,90,67.55,63.78,22.35,16.24
59,Vaini,80,IN,1554509160,95,15.34,74.49,69.87,1.59
60,Ajdabiya,92,LY,1554509257,98,30.75,20.22,63.3,11.99
61,Krasnoarmeysk,0,RU,1554509165,69,56.12,38.15,39.99,4.47
62,Verkh-Usugli,76,RU,1554509260,68,52.7,115.17,23.16,6.85
63,Baiyin,12,CN,1554508800,28,36.55,104.13,42.8,4.47
64,Okhotsk,88,RU,1554509263,77,59.36,143.24,36.3,6.62
65,Lerwick,92,GB,1554506400,93,60.15,-1.15,44.6,6.93
66,Okha,76,RU,1554509265,96,53.59,142.95,29.37,12.44
67,Kautokeino,0,NO,1554509267,78,69.01,23.04,20.28,8.75
68,Padang,56,ID,1554509268,100,-0.92,100.36,81.39,3.71
69,Acari,80,BR,1554509269,96,-6.44,-36.64,72.12,4.61
70,Lompoc,1,US,1554509197,68,34.64,-120.46,64.99,13.87
71,Xichang,76,CN,1554509272,99,27.88,102.25,44.13,1.36
72,Vostok,68,RU,1554509273,73,46.45,135.83,31.26,2.93
73,Talnakh,88,RU,1554509275,92,69.49,88.39,24.96,16.8
74,Seoul,1,KR,1554508200,52,37.57,126.98,46.4,1.12
75,Castro,75,CL,1554508800,87,-42.48,-73.76,50.0,5.28
76,Yellowknife,20,CA,1554507727,48,62.45,-114.38,21.2,8.05
77,Tarauaca,8,BR,1554509280,74,-8.16,-70.77,83.55,3.94
78,Butaritari,88,KI,1554509281,100,3.07,172.79,80.94,14.23
79,Tarko-Sale,68,RU,1554509232,84,64.92,77.78,19.99,22.17
80,Tuktoyaktuk,5,CA,1554505200,84,69.44,-133.03,3.2,9.17
81,Hamilton,90,CA,1554509041,93,43.26,-79.87,39.2,3.36
82,Champasak,68,LA,1554509287,92,14.89,105.88,74.55,3.6
83,Lebu,75,ET,1554505200,67,8.96,38.73,60.8,6.93
84,Zyryanka,36,RU,1554509290,81,65.73,150.89,19.38,3.04
85,Bredasdorp,0,ZA,1554508806,81,-34.53,20.04,57.99,4.7
86,Portland,75,US,1554509023,62,45.52,-122.67,55.99,5.82
87,Port Alfred,92,ZA,1554509239,93,-33.59,26.89,60.01,3.0
88,Bethel,1,US,1554508560,47,60.79,-161.76,37.4,17.22
89,Fiche,8,ET,1554509296,87,9.77,38.74,45.75,3.15
90,Kiruna,0,SE,1554506400,73,67.86,20.23,19.4,13.87
91,New Norfolk,40,AU,1554508995,48,-42.78,147.06,63.0,14.99
92,Port Elizabeth,90,US,1554509236,93,39.31,-74.98,50.0,10.29
93,Clyde River,75,CA,1554505200,84,70.47,-68.59,-2.21,16.11
94,Bonfim,0,GY,1554509302,40,3.36,-59.84,89.13,15.9
95,Rio Grande,76,BR,1554509304,92,-32.03,-52.1,69.15,18.48
96,Najran,40,SA,1554505200,77,17.54,44.22,68.0,2.93
97,Mizan Teferi,92,ET,1554509306,95,6.99,35.58,61.41,3.6
98,Avarua,0,CK,1554507000,69,-21.21,-159.78,80.6,10.29
99,Souillac,0,FR,1554509157,76,45.6,-0.6,48.2,2.24
100,Jamestown,0,AU,1554509157,71,-33.21,138.6,60.51,6.17
101,Aykhal,76,RU,1554509311,81,65.95,111.51,20.37,3.94
102,Kiunga,8,PG,1554509313,88,-6.12,141.3,80.58,2.93
103,Pisco,0,PE,1554508800,78,-13.71,-76.2,73.4,10.29
104,Atuona,24,PF,1554509315,100,-9.8,-139.03,82.83,13.22
105,Bud,12,NO,1554508957,86,62.91,6.91,41.0,8.05
106,Pimentel,88,BR,1554509318,91,-3.7,-45.5,76.17,2.48
107,Saldanha,92,PT,1554509290,96,41.42,-6.55,39.72,9.75
108,Mahebourg,40,MU,1554509041,83,-20.41,57.7,78.8,13.87
109,Henties Bay,8,NA,1554508928,93,-22.12,14.28,59.0,5.99
110,Avera,1,US,1554509108,73,33.19,-82.53,72.0,2.59
111,Shebunino,0,RU,1554507000,86,57.66,40.04,30.2,2.82
112,Mirabad,0,IR,1554509326,60,28.27,61.33,50.25,2.71
113,Lasa,0,CY,1554508866,87,34.92,32.53,57.2,6.93
114,Santa catarina de Tepehuanes,0,MX,1554509328,18,25.34,-105.72,65.55,11.77
115,Ulladulla,75,AU,1554508941,64,-35.36,150.48,70.0,6.93
116,Isangel,88,VU,1554509157,100,-19.55,169.27,77.43,15.23
117,Nioro,0,GM,1554509332,30,13.79,-15.05,84.18,11.21
118,Aleppo,24,SY,1554509333,94,36.2,37.17,49.35,2.93
119,Upernavik,20,GL,1554509155,100,72.79,-56.15,15.96,13.56
120,Simplicio Mendes,64,BR,1554509336,96,-7.85,-41.91,70.77,3.04
121,Guerrero Negro,0,MX,1554509337,72,27.97,-114.04,66.27,11.43
122,Kilindoni,100,TZ,1554509339,100,-7.91,39.67,82.29,5.39
123,Piterka,88,RU,1554509340,95,50.68,47.44,43.32,7.63
124,Butajira,20,ET,1554509341,93,8.12,38.38,46.65,1.92
125,Tautira,40,PF,1554507745,62,-17.73,-149.15,87.8,9.17
126,Yellandu,32,IN,1554509344,56,17.59,80.32,74.55,6.17
127,Presidencia Roque Saenz Pena,92,AR,1554509345,64,-26.79,-60.44,63.75,8.63
128,Port Moresby,40,PG,1554505200,83,-9.47,147.16,80.6,5.82
129,Cienfuegos,56,CU,1554505140,74,22.15,-80.44,80.6,3.36
130,Sokoni,48,CD,1554509349,93,-12.89,28.78,64.29,4.38
131,Amapa,40,HN,1554509129,66,15.09,-87.97,86.0,13.87
132,Jalu,92,LY,1554509352,98,29.03,21.55,64.02,6.4
133,Long Beach,90,US,1554509255,94,30.35,-89.15,73.99,4.7
134,Mala Tokmachka,0,UA,1554507000,50,47.53,35.9,33.8,4.47
135,Suntar,0,RU,1554509356,80,62.16,117.65,28.11,3.94
136,Cherskiy,12,RU,1554509357,75,68.75,161.3,15.33,2.37
137,Assare,24,BR,1554509255,93,-6.87,-39.88,70.23,2.37
138,Tura,36,IN,1554509360,95,25.52,90.21,65.55,2.48
139,Saskylakh,8,RU,1554509361,73,71.97,114.09,8.13,9.98
140,Ola,12,RU,1554509362,87,59.58,151.3,34.77,22.73
141,Vagur,92,FO,1554509165,97,61.47,-6.81,45.75,20.94
142,Muzhi,8,RU,1554509365,70,65.4,64.7,20.1,14.23
143,Kraslava,0,LV,1554509366,65,55.9,27.16,33.33,7.4
144,Perth,8,GB,1554509109,93,56.4,-3.43,43.0,4.7
145,Bluff,0,AU,1554509191,48,-23.58,149.07,79.05,11.1
146,Kalabo,100,ZM,1554509370,40,-15.0,22.67,77.61,4.83
147,Barrow,0,AR,1554509159,62,-38.31,-60.23,57.9,9.08
148,Albanel,75,CA,1554509324,29,48.88,-72.44,35.6,10.29
149,San Cristobal,75,EC,1554508875,82,-0.39,-78.55,59.0,9.17
150,Shaoxing,0,CN,1554509336,72,30.0,120.58,70.0,4.47
151,Flinders,75,AU,1554509345,64,-34.58,150.85,72.0,6.93
152,Zhangjiakou,56,CN,1554509378,67,40.77,114.88,42.15,4.16
153,Los Llanos de Aridane,40,ES,1554509110,55,28.66,-17.92,64.4,10.29
154,Chingirlau,92,KZ,1554509363,92,51.09,54.08,39.0,2.93
155,Lazaro Cardenas,75,MX,1554509108,14,28.39,-105.62,80.6,16.11
156,Hasaki,0,JP,1554509075,100,35.73,140.83,61.0,3.36
157,Hithadhoo,0,MV,1554509384,100,-0.6,73.08,83.73,6.17
158,Maturin,0,VE,1554509385,43,9.75,-63.18,83.73,9.75
159,Davidson,90,US,1554509373,100,35.5,-80.85,60.8,2.59
160,Pevek,24,RU,1554509177,95,69.7,170.27,6.6,8.63
161,Russell,0,AR,1554505200,53,-33.01,-68.8,69.8,5.82
162,Tasiilaq,92,GL,1554504600,68,65.61,-37.64,28.4,24.16
163,Thompson,40,CA,1554505200,32,55.74,-97.86,24.8,6.93
164,Victoria,75,BN,1554507000,94,5.28,115.24,82.4,2.37
165,Saint Anthony,90,US,1554509153,87,43.97,-111.68,51.8,13.87
166,Sobolevo,0,RU,1554509385,72,54.43,31.9,26.58,2.82
167,Havelock,90,US,1554509205,82,34.88,-76.9,64.4,8.05
168,Iqaluit,90,CA,1554507724,85,63.75,-68.52,23.0,2.24
169,Sibu,75,MY,1554505200,100,2.29,111.83,75.2,2.24
170,Cabog,8,PH,1554509401,85,15.32,121.37,75.18,2.59
171,Jackville,0,CI,1554507000,78,5.21,-4.42,82.4,5.82
172,Aksay,0,RU,1554507000,65,47.27,39.86,32.0,4.83
173,Pathein,0,MM,1554509405,92,16.78,94.73,75.45,7.74
174,Lorengau,8,PG,1554509406,98,-2.02,147.27,83.28,1.7
175,Bumba,8,CD,1554509407,78,2.18,22.47,76.71,4.05
176,Zhezkazgan,8,KZ,1554509409,87,47.8,67.71,31.17,3.49
177,Vaitape,68,PF,1554509410,99,-16.52,-151.75,84.63,14.34
178,Atar,0,MR,1554509411,43,20.52,-13.05,61.5,6.73
179,Grindavik,0,IS,1554509217,100,63.84,-22.43,35.6,6.93
180,Kyrksaeterora,8,NO,1554509365,86,63.29,9.09,41.0,8.05
181,Altay,92,CN,1554509416,94,47.83,88.13,32.88,2.82
182,Severo-Kurilsk,88,RU,1554509332,97,50.68,156.12,33.33,9.19
183,Sao Filipe,0,CV,1554509418,97,14.9,-24.5,70.5,18.37
184,Cabo San Lucas,40,MX,1554508932,36,22.89,-109.91,84.0,11.41
185,Katsuura,20,JP,1554509045,54,33.93,134.5,62.01,5.82
186,Luena,20,AO,1554509422,92,-11.78,19.91,64.65,2.26
187,Vila Velha,0,BR,1554509291,83,-3.71,-38.6,80.6,3.36
188,Sitka,36,US,1554508900,46,37.17,-99.65,73.99,20.0
189,Otavi,0,NA,1554509426,54,-19.64,17.34,58.35,3.38
190,Batsfjord,0,NO,1554504600,100,70.63,29.72,32.0,17.22
191,Kaitangata,0,NZ,1554509300,56,-46.28,169.85,53.01,10.0
192,Erzin,0,TR,1554509401,93,36.95,36.2,55.99,5.82
193,Saint-Francois,0,FR,1554508883,75,46.42,3.91,44.6,6.93
194,Doha,0,QA,1554507000,54,25.29,51.53,78.8,9.17
195,Hofn,32,IS,1554509434,100,64.25,-15.21,36.21,14.79
196,Cockburn Town,76,TC,1554509435,99,21.46,-71.14,78.24,18.7
197,Chulman,64,RU,1554509436,73,56.84,124.9,26.13,6.4
198,Coahuayana,0,MX,1554509438,26,18.62,-100.35,85.35,3.15
199,Nikolskoye,0,RU,1554509438,77,59.7,30.79,37.0,6.71
200,Lufilufi,40,WS,1554507745,66,-13.87,-171.6,87.8,10.29
201,Mar del Plata,12,AR,1554509442,44,-46.43,-67.52,65.73,31.34
202,Kichera,0,RU,1554509443,63,55.93,110.1,9.57,3.15
203,Yerbogachen,0,RU,1554509350,65,61.28,108.01,23.61,3.38
204,Ape,0,EE,1554509445,64,57.54,26.69,34.77,5.06
205,Beyneu,12,KZ,1554509447,83,45.32,55.19,41.52,4.94
206,Baruun-Urt,0,MN,1554509448,39,46.68,113.28,20.01,8.63
207,Ahipara,44,NZ,1554509449,79,-35.17,173.16,67.53,4.94
208,Gravdal,0,NO,1554509411,66,59.79,5.78,48.2,4.7
209,Ostrovnoy,0,RU,1554509363,84,68.05,39.51,20.64,15.79
210,Kindu,92,CD,1554509453,99,-2.95,25.92,70.5,2.37
211,Ixtapa,90,MX,1554509415,74,20.71,-105.21,78.8,9.17
212,Gloucester,75,GB,1554509448,75,51.87,-2.25,48.0,12.75
213,Yerofey Pavlovich,24,RU,1554509457,50,53.97,121.97,31.53,7.74
214,Itarema,92,BR,1554509458,100,-2.92,-39.92,74.01,3.71
215,Timra,92,SE,1554509119,96,62.49,17.33,33.01,2.24
216,Kavieng,56,PG,1554509308,100,-2.57,150.8,83.55,4.94
217,Kimbe,20,PG,1554509462,100,-5.56,150.15,82.29,1.48
218,Codrington,20,AU,1554509150,64,-28.95,153.24,75.99,3.36
219,Tiksi,68,RU,1554509165,84,71.64,128.87,18.21,3.71
220,Mount Gambier,90,AU,1554505200,82,-37.83,140.78,57.2,5.82
221,Kavaratti,8,IN,1554509467,100,10.57,72.64,83.73,4.61
222,Grand-Santi,92,GF,1554509468,99,4.27,-54.38,73.83,2.93
223,Bambous Virieux,40,MU,1554509342,83,-20.34,57.76,78.8,13.87
224,Shaoguan,20,CN,1554509471,91,24.81,113.59,64.11,2.59
225,Beloha,0,MG,1554509473,77,-25.17,45.06,74.01,7.96
226,Ust-Nera,0,RU,1554509474,84,64.57,143.24,22.35,1.59
227,Fernley,1,US,1554509322,45,39.61,-119.25,53.01,14.99
228,Imbituva,64,BR,1554509179,90,-25.23,-50.6,69.87,4.05
229,Tamandare,8,BR,1554509478,74,-8.28,-70.75,83.55,3.94
230,Praia,0,BR,1554505200,65,-20.25,-43.81,78.8,5.82
231,Provideniya,0,RU,1554509252,100,64.42,-173.23,25.68,2.15
232,Aklavik,5,CA,1554505200,52,68.22,-135.01,19.4,11.41
233,Brae,92,GB,1554506400,93,60.4,-1.35,44.6,3.36
234,Olga,75,US,1554509482,51,34.11,-118.17,66.99,6.93
235,Limbang,75,BN,1554507000,88,4.75,115.01,82.4,1.12
236,Altamont,90,CA,1554509426,100,49.4,-98.5,34.0,11.41
237,Kailua,20,US,1554509215,51,21.39,-157.74,84.2,14.99
238,Quatre Cocos,40,MU,1554509342,83,-20.21,57.76,78.8,13.87
239,Yabelo,0,ET,1554509491,65,4.89,38.09,67.08,6.06
240,Ugoofaaru,76,MV,1554509492,100,5.67,73.0,84.9,2.93
241,Soe,0,EE,1554509417,64,57.91,26.05,37.99,2.24
242,Huntsville,1,US,1554509490,63,34.73,-86.59,68.0,2.37
243,Presidente Epitacio,44,BR,1554509496,96,-21.76,-52.12,73.47,9.19
244,East London,92,ZA,1554509498,100,-33.02,27.91,64.56,6.96
245,Abalak,0,NE,1554509499,32,15.46,6.28,74.82,4.94
246,Buraydah,40,SA,1554505200,40,26.33,43.97,71.6,4.7
247,Binzhou,0,CN,1554509501,42,37.38,117.96,65.46,6.73
248,Piet Retief,88,ZA,1554509503,99,-27.01,30.81,56.01,2.71
249,Haines Junction,88,CA,1554509504,72,60.75,-137.51,25.23,2.59
250,Shahrud,0,IR,1554509505,88,36.42,54.97,36.75,2.15
251,Cap Malheureux,40,MU,1554509342,83,-19.98,57.61,78.8,13.87
252,Harnosand,92,SE,1554509119,94,62.63,17.94,33.01,2.24
253,Te Anau,0,NZ,1554509509,70,-45.41,167.72,47.37,3.6
254,Vestmanna,24,FO,1554506400,86,62.16,-7.17,41.0,5.82
255,College,20,US,1554509444,38,64.86,-147.8,44.01,9.17
256,Pasni,12,PK,1554509513,75,25.26,63.48,79.86,8.75
257,Cheremnoye,75,RU,1554507000,93,53.17,83.21,32.0,6.71
258,La Trinite,0,FR,1554509284,81,48.25,-4.26,44.01,6.93
259,Mbanza-Ngungu,64,CD,1554509517,94,-5.25,14.87,71.58,2.71
260,Waipawa,92,NZ,1554509177,73,-39.94,176.59,54.0,8.63
261,Taksimo,76,RU,1554509520,67,56.36,114.84,19.65,2.93
262,Shakawe,48,BW,1554509521,74,-18.36,21.84,67.98,6.96
263,Port Keats,80,AU,1554509522,100,-14.25,129.55,76.26,23.06
264,Vernon,20,CA,1554509446,62,50.27,-119.27,54.0,2.24
265,Male,0,UA,1554509525,69,50.74,33.7,28.83,2.71
266,Lavrentiya,0,RU,1554509319,100,65.58,-170.99,20.91,4.72
267,Srednekolymsk,0,RU,1554509527,73,67.46,153.71,17.4,3.38
268,Kahului,40,US,1554509370,48,20.89,-156.47,86.0,10.29
269,Mitsamiouli,20,KM,1554509530,100,-11.38,43.28,81.21,6.17
270,Kastamonu,20,TR,1554509531,82,41.38,33.78,32.43,2.37
271,Vung Tau,0,VN,1554509532,97,10.35,107.08,82.29,13.11
272,Ilebo,0,CD,1554509534,92,-4.33,20.59,74.73,1.14
273,Bambanglipuro,8,ID,1554509506,95,-7.95,110.28,74.37,4.05
274,Vanavara,0,RU,1554509536,78,60.35,102.28,21.9,2.59
275,Ribeira Grande,20,PT,1554509313,95,38.52,-28.7,61.41,18.81
276,Kuusamo,75,FI,1554508200,92,65.96,29.19,17.6,2.24
277,Saint-Leu,0,RE,1554509425,60,-21.15,55.28,77.0,5.82
278,Saint-Augustin,92,FR,1554509365,93,44.83,-0.61,51.01,8.05
279,Inhambane,8,MZ,1554509543,100,-23.87,35.38,73.47,4.72
280,Fukue,20,JP,1554509340,59,35.03,136.69,64.0,12.75
281,Prince Rupert,75,CA,1554505200,76,54.32,-130.32,51.8,0.92
282,Dingle,44,PH,1554509322,78,11.0,122.67,80.31,7.4
283,Iranduba,40,BR,1554505200,83,-3.28,-60.19,84.2,4.7
284,Fonte Boa,44,BR,1554509413,90,-2.51,-66.09,79.77,6.96
285,Mezen,0,RU,1554509550,86,65.85,44.24,19.38,2.37
286,Salinas,1,US,1554509526,59,36.67,-121.66,64.4,8.05
287,Sobradinho,92,BR,1554509553,85,-29.41,-53.03,63.3,4.94
288,Alpena,90,US,1554509446,93,45.06,-83.43,39.2,1.7
289,Touros,20,BR,1554505200,88,-5.2,-35.46,78.8,3.36
290,Kathmandu,75,NP,1554506400,100,27.71,85.32,60.8,3.36
291,Ortona,0,IT,1554509442,93,42.35,14.4,48.0,4.7
292,Camacha,40,PT,1554507000,71,33.08,-16.33,59.0,12.75
293,Angoche,20,MZ,1554509561,100,-16.23,39.91,80.76,4.16
294,Tessalit,0,ML,1554509444,27,20.2,1.01,74.37,9.08
295,Nanga Eboko,44,CM,1554509563,97,4.68,12.37,71.58,7.29
296,Lima,40,PE,1554509405,83,-12.06,-77.04,72.0,11.41
297,Mount Hagen,12,PG,1554509566,83,-5.86,144.23,64.83,2.59
298,Sao Joao da Barra,0,BR,1554505200,83,-21.64,-41.05,80.6,11.41
299,Khatra,20,IN,1554509569,97,22.98,86.85,72.93,5.61
300,Calbuco,75,CL,1554508800,87,-41.77,-73.13,51.8,3.36
301,Zonguldak,8,TR,1554509571,89,41.25,31.83,40.98,2.59
302,Tambun,75,MY,1554505200,88,4.62,101.14,78.8,3.36
303,Dzaoudzi,75,YT,1554507000,88,-12.79,45.27,82.4,4.7
304,Port Blair,0,IN,1554509472,100,11.67,92.75,83.28,4.72
305,Talara,0,PE,1554509576,63,-4.58,-81.27,77.25,8.75
306,Itoman,20,JP,1554508560,69,26.12,127.67,75.2,4.7
307,Kokoda,20,PG,1554509579,86,-8.88,147.74,72.39,1.14
308,Deputatskiy,76,RU,1554509437,86,69.3,139.9,15.15,3.94
309,Cape Coast,8,GH,1554509582,85,5.11,-1.24,78.51,4.61
310,Bonney Lake,40,US,1554509579,76,47.19,-122.17,54.0,13.87
311,Safranbolu,8,TR,1554509584,85,41.25,32.69,38.28,2.37
312,Kiama,75,AU,1554509530,64,-34.67,150.86,75.99,6.93
313,Soloneshnoye,88,RU,1554509587,99,51.65,84.32,39.63,3.6
314,Shingu,20,JP,1554505200,58,33.72,135.99,59.0,10.29
315,Gunjur,0,GM,1554505200,64,13.18,-16.76,73.4,11.41
316,Hobyo,92,SO,1554509592,87,5.35,48.53,79.68,9.19
317,Amuntai,20,ID,1554509563,88,-2.42,115.25,78.15,1.7
318,Sulangan,64,PH,1554509594,100,11.14,123.72,79.86,8.52
319,Adamovka,32,RU,1554509596,78,51.52,59.94,26.49,2.26
320,Kaeo,8,NZ,1554509286,74,-35.1,173.78,68.0,5.99
321,Luderitz,24,NA,1554509559,76,-26.65,15.16,59.97,17.02
322,Tazovskiy,80,RU,1554509356,93,67.47,78.7,24.33,20.27
323,Buala,92,SB,1554509601,78,-8.15,159.59,86.79,3.6
324,Hambantota,0,LK,1554509602,100,6.12,81.12,79.77,4.94
325,Sinnamary,100,GF,1554509603,91,5.38,-52.96,81.03,11.65
326,Moerai,24,PF,1554509559,100,-22.43,-151.33,78.78,5.73
327,Berlevag,0,NO,1554509606,100,70.86,29.09,24.87,10.76
328,Ust-Kalmanka,92,RU,1554509607,91,52.12,83.31,36.3,6.4
329,Sao Desiderio,92,BR,1554509609,100,-12.36,-44.97,67.89,4.72
330,Astana,90,KZ,1554507000,80,51.13,71.43,33.8,8.95
331,Lar,24,IR,1554509612,41,27.66,54.32,58.53,1.59
332,Salalah,20,OM,1554504600,74,17.01,54.1,80.6,4.7
333,Iberia,24,PE,1554509614,97,-11.41,-69.49,76.08,1.81
334,Gros-Morne,24,CA,1554509616,56,49.25,-65.55,27.57,14.56
335,Misratah,44,LY,1554509531,92,32.38,15.09,60.96,16.8
336,Oranjestad,20,AW,1554508800,69,12.52,-70.03,80.6,19.46
337,Burns Lake,92,CA,1554509619,92,54.23,-125.76,43.68,3.6
338,Saquena,24,PE,1554509621,89,-4.67,-73.52,81.57,2.48
339,Dalmatovo,0,RU,1554509622,63,56.26,62.94,22.44,6.06
340,Port-Gentil,20,GA,1554505200,100,-0.72,8.78,77.0,0.92
341,Viedma,0,AR,1554509625,31,-40.81,-62.99,66.81,15.79
342,Bugiri,0,UG,1554509626,85,0.57,33.75,70.32,4.61
343,Cidreira,92,BR,1554509622,94,-30.17,-50.22,68.25,9.19
344,Villanueva de Cordoba,0,ES,1554507000,93,38.32,-4.63,46.4,6.93
345,Kalmunai,0,LK,1554509630,100,7.42,81.82,72.66,2.93
346,Santa Rosa,0,AR,1554509633,42,-36.62,-64.29,58.8,8.75
347,Chernyshevskiy,0,RU,1554509635,81,63.01,112.47,21.0,3.15
348,Raudeberg,0,NO,1554507008,93,61.99,5.14,42.01,1.12
349,Det Udom,92,TH,1554507000,88,14.9,105.08,77.0,3.36
350,Cayenne,92,GF,1554508800,94,4.94,-52.33,75.2,9.08
351,Alveringem,56,BE,1554509624,81,51.01,2.71,48.0,4.7
352,Kupang,75,ID,1554507000,88,-10.16,123.6,77.0,10.29
353,Chupa,0,PE,1554508800,43,-15.11,-69.99,50.0,4.7
354,Mulki,0,PL,1554509591,65,49.81,20.51,48.0,6.93
355,Sale,80,GB,1554509527,75,53.42,-2.32,46.99,4.7
356,Makakilo City,1,US,1554509548,51,21.35,-158.09,84.2,16.11
357,Pangnirtung,80,CA,1554509648,76,66.15,-65.72,17.4,4.61
358,Clyde,8,NZ,1554508835,75,-45.19,169.32,44.01,4.0
359,Eskil,0,TR,1554509651,88,38.4,33.41,39.9,4.5
360,Aguadulce,75,PA,1554509334,74,8.24,-80.54,84.99,11.41
361,Diego de Almagro,0,CL,1554509653,73,-26.39,-70.05,63.48,2.59
362,Barghat,88,IN,1554509655,80,22.03,79.74,65.91,2.93
363,Nizwa,36,OM,1554509631,35,22.93,57.53,66.63,1.36
364,Necochea,0,AR,1554503505,60,-38.55,-58.74,60.01,1.01
365,Hervey Bay,40,AU,1554509420,57,-25.3,152.85,84.0,12.75
366,Constitucion,90,MX,1554509415,12,23.99,-104.67,75.2,16.11
367,Castilho,12,BR,1554509661,68,-20.87,-51.49,82.2,5.39
368,Port Hardy,75,CA,1554508080,71,50.7,-127.42,50.0,9.17
369,Zhigansk,44,RU,1554509525,79,66.77,123.37,25.68,5.61
370,Sangar,44,RU,1554509665,69,63.92,127.47,27.21,1.03
371,Comodoro Rivadavia,0,AR,1554505200,28,-45.87,-67.48,69.8,14.99
372,Vila Franca do Campo,75,PT,1554509404,82,37.72,-25.43,57.2,16.11
373,Meadow Lake,75,CA,1554505200,52,54.13,-108.44,41.0,11.41
